TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster
622.41,Debit,Indianapolis,ATM,Lansia Muda,Doctor,125,1,7322.01,2024-11-04 08:07:48,2
43.73,Debit,Omaha,ATM,Dewasa,Doctor,145,1,9929.43,2024-11-04 08:10:33,0
1282.86,Debit,Austin,Branch,Dewasa Muda,Student,68,1,1830.98,2024-11-04 08:07:32,1
2.03,Credit,Detroit,ATM,Dewasa,Engineer,28,1,3012.31,2024-11-04 08:08:50,1
770.65,Debit,Jacksonville,Online,Dewasa,Doctor,137,1,7198.8,2024-11-04 08:09:01,2
260.31,Debit,Austin,Branch,Lansia Muda,Doctor,113,1,10980.38,2024-11-04 08:12:03,0
356.1,Credit,Fort Worth,Branch,Dewasa Muda,Student,187,1,868.35,2024-11-04 08:11:02,1
27.07,Credit,Virginia Beach,Branch,Lansia,Retired,39,1,3773.29,2024-11-04 08:09:57,1
119.89,Debit,Tucson,ATM,Lansia,Doctor,60,1,6697.77,2024-11-04 08:09:02,2
106.39,Debit,Virginia Beach,Online,Dewasa,Doctor,281,1,9410.99,2024-11-04 08:10:32,0
12.04,Debit,Fort Worth,Online,Dewasa,Engineer,58,1,6213.32,2024-11-04 08:08:25,2
365.7,Debit,Houston,Branch,Dewasa Muda,Student,115,2,368.78,2024-11-04 08:10:17,1
29.38,Credit,Baltimore,Branch,Dewasa Muda,Student,63,1,1663.31,2024-11-04 08:11:08,1
319.85,Debit,Denver,ATM,Lansia Muda,Doctor,148,1,711.66,2024-11-04 08:07:45,1
350.14,Credit,Los Angeles,Online,Lansia,Retired,38,1,2403.25,2024-11-04 08:08:40,1
163.94,Credit,Virginia Beach,Branch,Lansia Muda,Retired,73,1,5957.37,2024-11-04 08:09:51,2
170.53,Debit,Oklahoma City,Branch,Dewasa Muda,Student,58,1,801.01,2024-11-04 08:09:49,1
262.22,Credit,Baltimore,ATM,Dewasa,Engineer,136,1,5711.71,2024-11-04 08:12:12,2
41.49,Debit,Albuquerque,Online,Dewasa Muda,Student,13,1,928.33,2024-11-04 08:12:03,1
121.43,Credit,Sacramento,Branch,Lansia Muda,Engineer,243,1,7365.28,2024-11-04 08:07:28,2
350.46,Debit,Nashville,Branch,Lansia Muda,Retired,165,1,5839.38,2024-11-04 08:06:32,2
220.41,Credit,El Paso,Online,Dewasa Muda,Engineer,155,1,5116.98,2024-11-04 08:10:04,2
33.46,Debit,Seattle,ATM,Lansia,Retired,111,1,3641.07,2024-11-04 08:09:12,1
104.79,Debit,Denver,ATM,Lansia,Doctor,223,1,1352.19,2024-11-04 08:10:07,1
246.27,Debit,Fresno,Online,Dewasa Muda,Doctor,141,1,7299.86,2024-11-04 08:10:57,2
48.85,Debit,Dallas,ATM,Dewasa Muda,Student,176,1,1503.56,2024-11-04 08:07:15,1
332.0,Debit,Charlotte,ATM,Lansia,Retired,17,1,5943.13,2024-11-04 08:07:03,2
118.1,Debit,Memphis,Online,Lansia Muda,Engineer,167,1,895.66,2024-11-04 08:09:14,1
84.59,Credit,Las Vegas,Branch,Lansia,Doctor,10,1,5669.1,2024-11-04 08:07:12,2
295.64,Debit,Jacksonville,Online,Dewasa Muda,Student,82,1,1061.96,2024-11-04 08:10:41,1
514.33,Debit,Philadelphia,Branch,Dewasa Muda,Student,160,1,1592.94,2024-11-04 08:12:17,1
992.17,Debit,San Antonio,ATM,Dewasa,Doctor,169,1,6215.96,2024-11-04 08:12:19,2
94.59,Debit,Washington,Online,Dewasa,Doctor,34,1,6171.89,2024-11-04 08:10:37,2
80.43,Debit,Columbus,Branch,Lansia Muda,Retired,157,1,5987.67,2024-11-04 08:08:18,2
54.25,Debit,Virginia Beach,Online,Lansia,Doctor,37,1,14783.33,2024-11-04 08:08:53,0
178.88,Credit,Dallas,Branch,Lansia,Retired,93,4,4708.29,2024-11-04 08:12:10,2
518.85,Debit,Kansas City,Online,Dewasa Muda,Student,82,1,1806.0,2024-11-04 08:06:37,1
10.65,Debit,Louisville,Online,Lansia Muda,Doctor,161,1,13240.72,2024-11-04 08:10:21,0
198.62,Credit,Tucson,Branch,Dewasa Muda,Student,84,1,1196.07,2024-11-04 08:06:38,1
107.03,Debit,Miami,Branch,Dewasa Muda,Student,73,1,1408.07,2024-11-04 08:12:13,1
139.57,Debit,Fort Worth,ATM,Dewasa Muda,Student,263,3,271.78,2024-11-04 08:07:23,1
312.47,Debit,Milwaukee,ATM,Dewasa,Engineer,148,4,9419.27,2024-11-04 08:08:05,0
346.11,Debit,Dallas,Branch,Dewasa,Engineer,213,1,9551.64,2024-11-04 08:08:03,0
138.06,Debit,Charlotte,Branch,Dewasa,Engineer,159,1,1070.47,2024-11-04 08:06:52,1
158.02,Debit,New York,ATM,Dewasa,Engineer,120,1,9374.24,2024-11-04 08:09:57,0
830.01,Credit,Chicago,Online,Lansia,Retired,96,1,4253.18,2024-11-04 08:11:27,2
435.5,Debit,Oklahoma City,ATM,Lansia Muda,Retired,112,1,6981.03,2024-11-04 08:09:40,2
110.49,Debit,Raleigh,Online,Lansia Muda,Doctor,48,1,10483.93,2024-11-04 08:12:20,0
329.4,Debit,Denver,Online,Dewasa,Doctor,68,1,9588.07,2024-11-04 08:07:55,0
635.4,Debit,Denver,ATM,Dewasa,Doctor,106,1,1238.11,2024-11-04 08:11:45,1
769.97,Debit,San Diego,Branch,Dewasa Muda,Student,23,1,1244.93,2024-11-04 08:09:51,1
175.07,Debit,Colorado Springs,Branch,Dewasa Muda,Student,169,1,1040.25,2024-11-04 08:08:15,1
7.31,Debit,Las Vegas,Branch,Lansia,Retired,282,1,5757.67,2024-11-04 08:07:15,2
175.15,Debit,Detroit,ATM,Dewasa Muda,Student,32,1,1712.65,2024-11-04 08:09:45,1
32.54,Debit,Oklahoma City,Online,Dewasa Muda,Student,183,4,1544.88,2024-11-04 08:07:01,1
121.82,Debit,Dallas,Online,Lansia Muda,Doctor,119,1,13293.83,2024-11-04 08:11:30,0
56.12,Debit,El Paso,ATM,Dewasa,Doctor,102,1,8839.67,2024-11-04 08:09:30,2
424.7,Credit,Miami,Online,Lansia Muda,Retired,178,1,6239.89,2024-11-04 08:08:25,2
35.16,Debit,Chicago,Branch,Dewasa,Engineer,130,1,8459.18,2024-11-04 08:10:34,2
35.73,Debit,Miami,Branch,Lansia,Doctor,87,1,9073.17,2024-11-04 08:11:09,0
3.44,Debit,Fort Worth,ATM,Lansia,Retired,108,1,7561.33,2024-11-04 08:12:20,2
1342.25,Credit,Fort Worth,Branch,Dewasa Muda,Student,235,1,694.03,2024-11-04 08:08:00,1
139.03,Credit,Los Angeles,Online,Lansia Muda,Engineer,81,1,2276.57,2024-11-04 08:11:29,1
254.92,Credit,San Antonio,ATM,Dewasa Muda,Engineer,169,1,2791.12,2024-11-04 08:07:18,1
115.11,Debit,Albuquerque,Online,Dewasa Muda,Engineer,139,1,9808.97,2024-11-04 08:10:18,0
171.11,Debit,San Francisco,ATM,Lansia Muda,Retired,171,1,6324.09,2024-11-04 08:08:40,2
168.54,Debit,Oklahoma City,ATM,Lansia,Doctor,142,2,13406.0,2024-11-04 08:08:14,0
420.76,Debit,Miami,Branch,Lansia Muda,Retired,76,1,6581.55,2024-11-04 08:08:38,2
408.46,Debit,Raleigh,Branch,Lansia Muda,Retired,28,1,3140.79,2024-11-04 08:08:20,1
1162.42,Credit,Detroit,Online,Dewasa,Doctor,45,1,10357.26,2024-11-04 08:09:09,0
342.17,Credit,New York,Branch,Dewasa Muda,Student,247,1,461.83,2024-11-04 08:08:32,1
580.71,Debit,Philadelphia,ATM,Lansia Muda,Engineer,95,1,5670.0,2024-11-04 08:10:54,2
821.54,Credit,Atlanta,Branch,Lansia,Retired,36,1,4040.32,2024-11-04 08:11:57,1
253.47,Debit,Atlanta,Branch,Dewasa Muda,Student,238,1,220.51,2024-11-04 08:08:12,1
22.81,Debit,New York,Online,Lansia Muda,Retired,75,1,3634.76,2024-11-04 08:07:59,1
266.57,Credit,Boston,Online,Dewasa,Engineer,96,1,7180.48,2024-11-04 08:07:10,2
374.61,Credit,Mesa,Online,Lansia,Retired,37,1,1389.71,2024-11-04 08:11:24,1
339.35,Credit,Boston,ATM,Lansia,Retired,70,1,5002.7,2024-11-04 08:08:17,2
810.36,Debit,Columbus,ATM,Dewasa Muda,Student,67,1,9239.12,2024-11-04 08:07:19,0
9.83,Debit,Memphis,ATM,Dewasa Muda,Student,86,1,666.42,2024-11-04 08:09:03,1
135.57,Credit,Boston,Branch,Lansia Muda,Doctor,116,1,11351.64,2024-11-04 08:11:44,0
340.05,Debit,Detroit,ATM,Dewasa,Engineer,37,1,7234.15,2024-11-04 08:07:43,2
283.45,Debit,Colorado Springs,Branch,Dewasa Muda,Engineer,127,1,2049.51,2024-11-04 08:08:51,1
100.99,Debit,New York,ATM,Lansia,Doctor,114,1,8865.27,2024-11-04 08:09:12,2
90.88,Debit,Albuquerque,Branch,Dewasa Muda,Student,176,1,3908.47,2024-11-04 08:07:13,1
655.15,Debit,Seattle,ATM,Dewasa Muda,Engineer,264,1,5587.44,2024-11-04 08:07:15,2
320.55,Debit,Milwaukee,Online,Lansia Muda,Engineer,118,1,438.75,2024-11-04 08:08:14,1
41.51,Debit,Phoenix,Online,Dewasa Muda,Student,48,1,609.6,2024-11-04 08:11:54,1
71.53,Credit,Jacksonville,Branch,Lansia,Retired,39,1,2393.73,2024-11-04 08:12:00,1
467.13,Credit,Kansas City,Branch,Lansia Muda,Retired,45,1,3914.84,2024-11-04 08:06:58,1
235.4,Debit,Detroit,Branch,Dewasa Muda,Student,70,1,818.36,2024-11-04 08:10:13,1
159.32,Debit,Seattle,Branch,Dewasa Muda,Student,100,1,304.44,2024-11-04 08:10:32,1
50.83,Credit,Philadelphia,Online,Dewasa,Doctor,48,1,9553.42,2024-11-04 08:10:06,0
56.89,Credit,Houston,Branch,Lansia Muda,Engineer,56,1,3034.67,2024-11-04 08:09:52,1
20.22,Debit,Jacksonville,ATM,Dewasa,Engineer,138,1,5515.32,2024-11-04 08:06:32,2
50.4,Debit,San Antonio,Branch,Dewasa,Doctor,84,1,1677.01,2024-11-04 08:07:17,1
73.88,Debit,Los Angeles,Branch,Lansia Muda,Retired,131,1,4055.55,2024-11-04 08:08:11,1
119.61,Debit,San Diego,ATM,Dewasa,Doctor,53,1,9899.94,2024-11-04 08:07:28,0
1241.05,Debit,Miami,Branch,Dewasa Muda,Student,129,1,756.74,2024-11-04 08:11:48,1
116.58,Debit,Raleigh,Branch,Dewasa,Engineer,247,1,2620.74,2024-11-04 08:06:50,1
1919.11,Debit,Portland,ATM,Dewasa,Doctor,161,1,11090.24,2024-11-04 08:10:27,0
391.96,Debit,Nashville,ATM,Lansia Muda,Retired,79,1,2174.16,2024-11-04 08:06:47,1
156.26,Credit,Virginia Beach,Branch,Dewasa,Engineer,160,1,7854.1,2024-11-04 08:09:29,2
427.0,Credit,Oklahoma City,Branch,Dewasa,Engineer,163,1,8253.65,2024-11-04 08:07:30,2
443.68,Debit,Tucson,ATM,Dewasa Muda,Student,137,1,874.15,2024-11-04 08:10:26,1
101.76,Debit,Philadelphia,Branch,Dewasa,Doctor,26,1,6043.25,2024-11-04 08:11:08,2
67.57,Debit,Charlotte,Branch,Dewasa,Engineer,107,1,2766.12,2024-11-04 08:11:15,1
326.29,Debit,Denver,Online,Lansia Muda,Engineer,179,1,8171.26,2024-11-04 08:10:44,2
158.56,Debit,Sacramento,ATM,Dewasa,Doctor,100,1,5401.21,2024-11-04 08:10:48,2
56.02,Debit,Memphis,Online,Dewasa Muda,Student,142,1,3548.02,2024-11-04 08:07:58,1
288.28,Debit,Portland,Online,Dewasa Muda,Student,36,1,160.83,2024-11-04 08:06:33,1
245.67,Credit,Portland,Branch,Dewasa Muda,Student,107,1,752.25,2024-11-04 08:07:45,1
152.18,Credit,Los Angeles,Online,Dewasa,Engineer,176,4,2459.84,2024-11-04 08:10:50,1
114.35,Credit,El Paso,Branch,Dewasa,Engineer,21,1,469.12,2024-11-04 08:10:13,1
373.27,Credit,Miami,Online,Lansia Muda,Doctor,79,1,8441.61,2024-11-04 08:06:36,2
504.63,Debit,Portland,Online,Lansia Muda,Engineer,168,1,3806.16,2024-11-04 08:07:50,1
126.22,Debit,Atlanta,ATM,Dewasa,Engineer,77,4,6133.41,2024-11-04 08:07:41,2
820.15,Debit,Kansas City,Branch,Dewasa,Doctor,181,1,8802.97,2024-11-04 08:10:34,2
986.81,Credit,Houston,Online,Lansia,Doctor,127,1,14881.77,2024-11-04 08:09:09,0
8.37,Debit,Colorado Springs,ATM,Lansia Muda,Retired,135,1,1106.34,2024-11-04 08:11:23,1
197.49,Credit,Fresno,Online,Lansia Muda,Retired,30,1,5005.33,2024-11-04 08:06:40,2
637.97,Debit,New York,Branch,Lansia Muda,Retired,90,1,7949.03,2024-11-04 08:07:56,2
13.52,Debit,Seattle,ATM,Dewasa Muda,Student,65,1,259.77,2024-11-04 08:06:30,1
432.1,Debit,San Francisco,ATM,Dewasa,Engineer,240,1,2114.3,2024-11-04 08:10:16,1
375.17,Debit,Fort Worth,ATM,Lansia Muda,Engineer,66,2,5495.3,2024-11-04 08:11:26,2
642.68,Debit,Fresno,Branch,Lansia Muda,Doctor,94,1,8461.46,2024-11-04 08:08:38,2
78.44,Credit,San Jose,Online,Lansia Muda,Retired,292,1,6870.84,2024-11-04 08:10:39,2
139.72,Debit,Memphis,Branch,Dewasa,Engineer,201,1,5058.83,2024-11-04 08:08:24,2
499.99,Debit,San Jose,Branch,Dewasa,Engineer,296,1,8885.0,2024-11-04 08:09:05,2
10.07,Debit,Albuquerque,Online,Dewasa Muda,Student,49,1,530.81,2024-11-04 08:08:57,1
120.62,Debit,Raleigh,ATM,Dewasa Muda,Student,85,1,9379.53,2024-11-04 08:06:39,0
578.49,Debit,Nashville,Branch,Lansia Muda,Retired,180,1,6475.13,2024-11-04 08:06:50,2
119.3,Debit,Mesa,Branch,Dewasa,Engineer,22,5,319.04,2024-11-04 08:08:55,1
280.92,Debit,Phoenix,Online,Dewasa,Doctor,168,1,5298.85,2024-11-04 08:06:41,2
42.42,Debit,Sacramento,Online,Dewasa Muda,Student,102,1,490.57,2024-11-04 08:09:11,1
77.03,Debit,Fresno,ATM,Lansia,Doctor,259,1,11310.27,2024-11-04 08:08:06,0
22.59,Debit,Seattle,ATM,Lansia Muda,Retired,45,1,3988.75,2024-11-04 08:08:22,1
568.76,Debit,Baltimore,ATM,Lansia Muda,Retired,155,1,7484.32,2024-11-04 08:12:09,2
25.94,Credit,San Jose,Online,Lansia Muda,Retired,211,5,4815.11,2024-11-04 08:06:38,2
105.94,Debit,Oklahoma City,Branch,Lansia Muda,Engineer,207,1,5963.1,2024-11-04 08:09:59,2
733.29,Debit,Virginia Beach,ATM,Lansia Muda,Doctor,94,5,10427.0,2024-11-04 08:07:12,0
350.15,Credit,Fresno,ATM,Dewasa Muda,Student,195,1,296.47,2024-11-04 08:08:37,1
1151.18,Debit,Kansas City,ATM,Lansia,Doctor,105,1,1100.06,2024-11-04 08:07:02,1
183.67,Debit,San Diego,Online,Dewasa Muda,Student,238,1,910.26,2024-11-04 08:11:05,1
278.27,Debit,Tucson,Branch,Dewasa Muda,Doctor,123,1,6684.34,2024-11-04 08:09:58,2
470.3,Debit,Austin,ATM,Dewasa,Doctor,88,1,8524.09,2024-11-04 08:08:00,2
261.69,Debit,Philadelphia,ATM,Lansia Muda,Retired,84,1,5126.65,2024-11-04 08:09:09,2
365.04,Debit,Virginia Beach,Branch,Dewasa Muda,Student,94,1,873.89,2024-11-04 08:12:08,1
211.1,Debit,Miami,Branch,Lansia Muda,Retired,136,1,7059.77,2024-11-04 08:07:01,2
21.49,Debit,Denver,ATM,Lansia Muda,Doctor,240,1,11991.24,2024-11-04 08:08:08,0
63.58,Debit,Columbus,ATM,Dewasa Muda,Student,199,1,8086.04,2024-11-04 08:11:56,2
321.86,Debit,San Antonio,ATM,Lansia Muda,Doctor,167,1,12626.49,2024-11-04 08:06:35,0
12.11,Debit,Jacksonville,Branch,Lansia,Retired,127,1,1730.28,2024-11-04 08:07:10,1
642.54,Debit,Milwaukee,Branch,Dewasa,Engineer,28,1,3143.17,2024-11-04 08:10:37,1
210.45,Debit,Las Vegas,ATM,Dewasa Muda,Student,146,1,1242.49,2024-11-04 08:06:24,1
313.65,Credit,Chicago,Branch,Lansia Muda,Retired,173,1,1886.36,2024-11-04 08:10:49,1
99.76,Debit,Sacramento,Branch,Dewasa Muda,Student,131,1,416.89,2024-11-04 08:06:26,1
115.32,Debit,Denver,Branch,Lansia Muda,Retired,113,1,5929.08,2024-11-04 08:08:36,2
33.61,Debit,Milwaukee,Online,Dewasa Muda,Student,72,1,479.08,2024-11-04 08:08:40,1
498.59,Credit,Oklahoma City,Online,Dewasa,Doctor,32,1,5862.99,2024-11-04 08:06:58,2
98.81,Debit,San Francisco,Branch,Dewasa Muda,Student,91,1,797.1,2024-11-04 08:08:11,1
1.87,Debit,Washington,ATM,Lansia,Retired,147,1,7287.94,2024-11-04 08:09:48,2
78.92,Credit,Jacksonville,Online,Lansia Muda,Engineer,95,1,5624.86,2024-11-04 08:08:28,2
194.29,Credit,Seattle,Branch,Dewasa,Engineer,10,1,2988.41,2024-11-04 08:08:57,1
28.73,Debit,Kansas City,ATM,Lansia Muda,Engineer,185,1,2712.96,2024-11-04 08:08:37,1
105.53,Debit,Colorado Springs,Online,Dewasa Muda,Student,88,1,1433.66,2024-11-04 08:10:14,1
737.34,Debit,Miami,Online,Dewasa,Doctor,34,1,7336.56,2024-11-04 08:08:06,2
237.86,Debit,Philadelphia,ATM,Dewasa Muda,Student,210,1,475.63,2024-11-04 08:10:20,1
409.61,Debit,Kansas City,Branch,Lansia,Doctor,89,1,11698.15,2024-11-04 08:10:16,0
75.53,Credit,Fresno,Online,Dewasa Muda,Student,157,1,1034.35,2024-11-04 08:07:11,1
72.75,Debit,Phoenix,ATM,Lansia Muda,Doctor,15,1,12042.79,2024-11-04 08:07:19,0
39.11,Debit,Columbus,Online,Dewasa Muda,Student,143,1,518.54,2024-11-04 08:08:27,1
1309.79,Debit,San Francisco,ATM,Dewasa Muda,Student,139,1,1258.93,2024-11-04 08:11:14,1
729.38,Debit,Los Angeles,ATM,Lansia,Doctor,90,1,9127.65,2024-11-04 08:08:16,0
137.49,Debit,Fort Worth,ATM,Dewasa,Engineer,50,1,4471.05,2024-11-04 08:07:04,2
504.71,Debit,Detroit,Online,Dewasa Muda,Engineer,61,1,6214.54,2024-11-04 08:08:37,2
371.47,Credit,Milwaukee,Branch,Dewasa Muda,Student,58,1,1187.04,2024-11-04 08:07:09,1
430.35,Debit,Charlotte,Online,Dewasa,Doctor,205,1,354.9,2024-11-04 08:10:51,1
230.32,Debit,Las Vegas,Branch,Dewasa,Engineer,56,1,791.46,2024-11-04 08:08:34,1
121.71,Debit,Chicago,ATM,Lansia Muda,Retired,140,1,5878.89,2024-11-04 08:11:23,2
98.87,Debit,Detroit,Online,Dewasa Muda,Student,179,1,533.2,2024-11-04 08:06:58,1
117.55,Debit,Fresno,ATM,Dewasa Muda,Student,35,1,897.94,2024-11-04 08:11:13,1
244.64,Debit,Tucson,Branch,Dewasa,Doctor,103,1,9159.56,2024-11-04 08:06:53,0
321.93,Debit,Nashville,ATM,Dewasa,Engineer,12,1,4392.73,2024-11-04 08:07:51,2
1092.73,Debit,Columbus,Branch,Lansia Muda,Retired,11,1,1390.98,2024-11-04 08:07:50,1
283.23,Debit,El Paso,Online,Dewasa,Engineer,98,1,2008.77,2024-11-04 08:07:38,1
346.65,Debit,Washington,Online,Dewasa,Engineer,60,1,6356.96,2024-11-04 08:06:58,2
381.62,Debit,Las Vegas,Online,Lansia Muda,Retired,164,1,6009.12,2024-11-04 08:11:46,2
388.65,Debit,Oklahoma City,ATM,Lansia,Retired,43,1,7896.85,2024-11-04 08:08:15,2
29.22,Debit,San Antonio,ATM,Dewasa Muda,Student,151,1,1649.43,2024-11-04 08:09:03,1
46.75,Debit,Colorado Springs,Branch,Lansia,Retired,150,1,2840.43,2024-11-04 08:09:20,1
348.64,Debit,San Jose,Online,Lansia Muda,Retired,128,1,3274.96,2024-11-04 08:11:22,1
319.17,Debit,Tucson,Online,Lansia,Retired,81,1,6501.56,2024-11-04 08:08:49,2
73.95,Debit,Kansas City,ATM,Dewasa Muda,Student,76,1,363.92,2024-11-04 08:07:22,1
389.63,Debit,Mesa,Online,Dewasa Muda,Engineer,99,1,9748.48,2024-11-04 08:08:55,0
217.61,Debit,Chicago,ATM,Dewasa Muda,Student,45,1,1404.53,2024-11-04 08:10:08,1
199.84,Debit,Dallas,ATM,Dewasa Muda,Student,150,1,706.44,2024-11-04 08:09:14,1
56.35,Debit,Charlotte,ATM,Dewasa,Doctor,75,1,5095.73,2024-11-04 08:07:36,2
248.95,Credit,San Francisco,Branch,Lansia,Retired,29,1,3059.79,2024-11-04 08:09:32,1
142.58,Debit,San Antonio,ATM,Dewasa,Engineer,145,1,7844.23,2024-11-04 08:06:46,2
1020.73,Debit,Fort Worth,ATM,Dewasa Muda,Student,87,1,1119.61,2024-11-04 08:11:32,1
84.34,Debit,Memphis,Online,Lansia Muda,Retired,248,3,5313.97,2024-11-04 08:09:31,2
1607.55,Debit,Phoenix,ATM,Dewasa,Engineer,156,1,6227.99,2024-11-04 08:07:33,2
333.78,Debit,San Diego,ATM,Lansia Muda,Retired,98,1,6810.94,2024-11-04 08:07:50,2
332.59,Debit,San Antonio,Online,Lansia Muda,Retired,143,1,1457.07,2024-11-04 08:09:05,1
236.81,Debit,Oklahoma City,Branch,Dewasa Muda,Student,15,1,813.68,2024-11-04 08:07:18,1
417.8,Credit,Philadelphia,Branch,Dewasa Muda,Student,130,1,1518.82,2024-11-04 08:09:17,1
319.27,Debit,San Antonio,ATM,Lansia Muda,Doctor,150,1,10269.78,2024-11-04 08:12:18,0
384.1,Debit,Detroit,Branch,Dewasa,Engineer,172,1,672.79,2024-11-04 08:11:42,1
820.62,Credit,Fresno,Branch,Lansia Muda,Doctor,158,1,6024.8,2024-11-04 08:07:28,2
474.77,Credit,Indianapolis,Online,Lansia Muda,Engineer,50,1,2158.59,2024-11-04 08:08:36,1
542.72,Credit,Indianapolis,Branch,Dewasa,Doctor,92,1,6011.8,2024-11-04 08:08:53,2
79.8,Debit,Fort Worth,ATM,Lansia,Retired,76,1,6372.58,2024-11-04 08:06:48,2
46.24,Debit,San Diego,Branch,Lansia Muda,Engineer,52,1,2569.56,2024-11-04 08:07:24,1
327.8,Debit,San Francisco,ATM,Lansia Muda,Doctor,54,1,10585.48,2024-11-04 08:09:18,0
445.79,Debit,Las Vegas,ATM,Lansia Muda,Doctor,161,1,717.99,2024-11-04 08:12:05,1
55.89,Debit,Fresno,Online,Lansia,Retired,150,1,3689.65,2024-11-04 08:11:33,1
158.41,Debit,Sacramento,Branch,Dewasa Muda,Student,16,1,1512.16,2024-11-04 08:10:03,1
101.19,Credit,Denver,Online,Lansia Muda,Doctor,75,1,14389.45,2024-11-04 08:09:44,0
827.14,Debit,El Paso,Branch,Dewasa,Engineer,265,4,9800.21,2024-11-04 08:08:14,0
61.97,Debit,Phoenix,ATM,Lansia,Retired,95,1,7014.69,2024-11-04 08:10:47,2
27.21,Debit,San Jose,ATM,Lansia,Retired,102,1,3520.61,2024-11-04 08:06:49,1
173.74,Debit,Houston,Online,Lansia,Retired,64,1,4913.42,2024-11-04 08:11:52,2
176.11,Debit,San Jose,Branch,Dewasa,Engineer,105,1,9155.35,2024-11-04 08:10:30,0
88.4,Debit,Fort Worth,Online,Dewasa,Engineer,174,1,2567.53,2024-11-04 08:09:41,1
567.92,Debit,Columbus,Online,Lansia Muda,Retired,14,1,3779.47,2024-11-04 08:12:12,1
138.11,Credit,Phoenix,Online,Lansia,Retired,104,1,4177.65,2024-11-04 08:07:04,2
456.93,Credit,Virginia Beach,Branch,Dewasa Muda,Engineer,193,1,7284.76,2024-11-04 08:09:29,2
101.42,Debit,Atlanta,Online,Lansia,Retired,146,1,6530.59,2024-11-04 08:12:22,2
300.61,Debit,El Paso,Online,Dewasa,Doctor,51,1,7895.54,2024-11-04 08:11:56,2
265.94,Debit,Boston,Online,Lansia Muda,Engineer,132,1,6781.3,2024-11-04 08:06:37,2
345.54,Debit,San Diego,Online,Dewasa Muda,Engineer,50,1,2091.78,2024-11-04 08:11:09,1
411.52,Debit,Los Angeles,ATM,Dewasa,Doctor,88,1,11108.39,2024-11-04 08:09:13,0
111.21,Debit,Portland,Branch,Dewasa,Doctor,111,1,9088.36,2024-11-04 08:12:12,0
316.37,Debit,Colorado Springs,ATM,Lansia Muda,Engineer,86,1,4671.69,2024-11-04 08:08:00,2
260.63,Debit,Fort Worth,Branch,Dewasa,Engineer,142,1,7534.73,2024-11-04 08:08:49,2
92.36,Debit,Dallas,ATM,Dewasa Muda,Engineer,144,1,6353.14,2024-11-04 08:07:55,2
262.06,Debit,Oklahoma City,Branch,Lansia Muda,Doctor,118,1,13587.52,2024-11-04 08:10:23,0
64.5,Debit,Denver,ATM,Lansia,Retired,230,1,1351.24,2024-11-04 08:08:31,1
253.55,Debit,Jacksonville,ATM,Dewasa Muda,Engineer,85,5,2797.26,2024-11-04 08:09:12,1
408.28,Credit,Nashville,Branch,Dewasa Muda,Student,125,3,1222.77,2024-11-04 08:10:10,1
175.94,Debit,Indianapolis,ATM,Lansia Muda,Retired,89,1,3728.04,2024-11-04 08:07:11,1
199.47,Debit,Detroit,Online,Lansia Muda,Doctor,142,1,6067.44,2024-11-04 08:07:22,2
51.07,Debit,Dallas,Branch,Lansia Muda,Retired,133,1,4292.16,2024-11-04 08:12:12,2
435.86,Debit,Jacksonville,ATM,Lansia Muda,Retired,134,1,3801.82,2024-11-04 08:09:18,1
74.73,Credit,Jacksonville,Branch,Lansia Muda,Retired,162,1,6353.22,2024-11-04 08:08:26,2
182.79,Credit,Louisville,Online,Dewasa Muda,Student,14,1,1251.85,2024-11-04 08:06:54,1
628.36,Debit,Austin,Online,Dewasa,Doctor,108,1,11869.71,2024-11-04 08:07:32,0
268.39,Debit,San Antonio,Online,Dewasa Muda,Doctor,177,1,9409.43,2024-11-04 08:11:45,0
362.27,Debit,Jacksonville,ATM,Lansia,Retired,47,1,6003.59,2024-11-04 08:07:35,2
560.15,Credit,Memphis,Online,Lansia Muda,Engineer,92,1,817.83,2024-11-04 08:10:51,1
351.99,Debit,Chicago,ATM,Lansia,Retired,45,2,3663.64,2024-11-04 08:11:23,1
132.36,Debit,Colorado Springs,Branch,Dewasa Muda,Student,160,1,319.65,2024-11-04 08:10:05,1
24.77,Credit,Nashville,Online,Dewasa,Engineer,17,1,478.23,2024-11-04 08:07:20,1
668.67,Debit,Detroit,Online,Dewasa,Doctor,143,4,13446.81,2024-11-04 08:06:29,0
80.24,Credit,New York,Branch,Lansia Muda,Doctor,58,1,8012.81,2024-11-04 08:12:13,2
8.65,Debit,Mesa,ATM,Lansia,Retired,198,1,4201.22,2024-11-04 08:11:35,2
178.91,Debit,Omaha,ATM,Dewasa Muda,Student,19,1,8870.89,2024-11-04 08:07:06,2
115.22,Debit,San Francisco,Branch,Dewasa Muda,Engineer,108,1,906.2,2024-11-04 08:09:07,1
161.63,Debit,San Jose,Online,Dewasa,Doctor,276,1,9286.37,2024-11-04 08:08:21,0
542.75,Credit,Nashville,Branch,Lansia,Retired,63,1,2224.08,2024-11-04 08:08:27,1
317.47,Credit,Sacramento,Online,Lansia,Doctor,16,1,14639.28,2024-11-04 08:07:58,0
280.99,Debit,Houston,Branch,Dewasa,Engineer,29,1,9733.59,2024-11-04 08:07:24,0
